timestamp,X Acceleration,X Velocity,X Displacement,Y Acceleration,Y Velocity,Y Displacement,Z Acceleration,Z Velocity,Z Displacement
6.421959961,0.168024719,1.691261913,-0.576749128,0.277623951,2.141302986,-0.230059379,-0.257873535,-0.121442503,0.752049161
6.57486377,0.113581359,1.592437569,-0.391527868,0.111364186,2.148549267,-0.049146974,-0.158996582,-0.273359584,0.72745928
6.727767578,0.076227844,1.425478801,-0.242054422,0.057409108,2.001233341,0.108311526,-0.096008301,-0.304088984,0.69680469
6.880671387,0.110895813,1.259654172,-0.133860299,0.070836842,1.835918356,0.229874852,-0.027160645,-0.242228211,0.676082857
7.033575195,0.124323547,1.137109832,-0.063468088,0.070836842,1.693569668,0.316842553,-0.050842285,-0.154160234,0.673464569
7.186479004,0.152399719,1.055469834,-0.023869173,0.08963567,1.577184129,0.373825473,-0.169494629,-0.177865874,0.681592182
7.339382813,0.161188781,1.01265971,-0.008122234,0.141881764,1.524723064,0.408382906,-0.200256348,-0.315764147,0.682809874
7.492286621,0.048151672,0.901794121,-0.017631174,0.120397389,1.506325621,0.428608431,-0.132873535,-0.426780475,0.670438393
7.64519043,0.120417297,0.768812839,-0.05870212,0.010045826,1.40414552,0.431611372,-0.043762207,-0.420962634,0.655625904
7.798094238,0.155085266,0.726533894,-0.125490611,-0.017053783,1.217346514,0.405968789,-0.062561035,-0.365576497,0.651083491
7.950998047,0.122126281,0.699712963,-0.209043948,-0.003381908,1.038052201,0.347111644,-0.086975098,-0.34783226,0.657387887
8.103901855,0.144587219,0.683494071,-0.306142121,0.061315358,0.933424371,0.262148968,-0.144836426,-0.396546363,0.666155448
8.256805664,0.106257141,0.675102884,-0.413770177,0.082067311,0.907992401,0.163477877,-0.203186035,-0.537003625,0.664937649
8.409709473,0.090388,0.6429594,-0.531712978,0.058873951,0.896729979,0.058858005,-0.144836426,-0.682058453,0.646084113
8.562613281,0.133600891,0.645819869,-0.658126209,0.116491139,0.929207244,-0.046474924,-0.021789551,-0.695793726,0.619066387
8.71551709,0.183405578,0.731400638,-0.78336698,0.10501653,1.014601383,-0.144169904,0.015563965,-0.594299133,0.602539984
8.868420898,0.135798156,0.833742246,-0.899183576,0.075719655,1.085646521,-0.230467345,-0.03326416,-0.508589159,0.603742315
9.021324707,0.149470031,0.930319848,-1.003625569,0.072545826,1.146114745,-0.306825974,-0.125793457,-0.537445077,0.612069261
9.174228516,0.177057922,1.08035627,-1.09142754,0.037633717,1.191824818,-0.374935919,-0.253479004,-0.738489001,0.604975033
9.327132324,0.246638,1.325136292,-1.149537775,0.070592701,1.251618301,-0.434484632,-0.269104004,-1.054400299,0.560019397
9.480036133,0.236872375,1.63086188,-1.16489621,0.080602467,1.361529204,-0.479908994,-0.156066895,-1.305357067,0.472884262
9.632939941,0.14116925,1.869138553,-1.137701008,0.022741139,1.45418398,-0.507830419,0.046325684,-1.324931716,0.365969791
9.78584375,0.052546203,1.981561787,-1.082788172,-0.01192683,1.493828567,-0.522888042,0.118103027,-1.140749124,0.272806915
9.938747559,0.047663391,2.039226968,-1.013797745,-0.011438549,1.521859006,-0.5296461,-0.005187988,-0.99868397,0.206137569
10.09165137,0.069636047,2.12855111,-0.931876179,0.048375905,1.607981721,-0.524441877,-0.13092041,-1.05003961,0.147947142
10.24455518,0.036188781,2.226492549,-0.83321976,-0.010706127,1.709871109,-0.501434835,-0.166564941,-1.230539842,0.073219132
10.39745898,0.054255188,2.325686565,-0.716846546,-0.007776439,1.788130227,-0.460618523,-0.11895752,-1.41068117,-0.028355793
10.55036279,0.116511047,2.495290458,-0.577619017,-0.028528392,1.86873658,-0.402985897,0.035095215,-1.445674356,-0.145909252
10.7032666,0.0044505,2.635270377,-0.413179809,-0.069788158,1.914500489,-0.330911523,0.167663574,-1.268781113,-0.25194684
10.85617041,-0.086858094,2.631017359,-0.237755657,-0.083215892,1.929990805,-0.249635465,0.170593262,-0.992363662,-0.322168942
11.00907422,-0.113225281,2.550590458,-0.068802616,-0.088098705,1.941813118,-0.162115642,0.094177246,-0.775115202,-0.353114351
11.16197803,-0.137151062,2.447789452,0.086104082,0.003209889,2.028746957,-0.063260189,0.001647949,-0.692843532,-0.359756767
11.31488184,-0.083928406,2.383132813,0.228480147,-0.012415111,2.184960125,0.057811323,-0.061096191,-0.737609685,-0.362768776
11.46778564,-0.092229187,2.364340575,0.364856987,-0.145471752,2.244208074,0.199162851,-0.055480957,-0.834463644,-0.376550468
11.62068945,-0.123479187,2.32450218,0.496701899,-0.221887767,2.159165661,0.342576726,0.089538574,-0.824396374,-0.397252086
11.77359326,-0.162785828,2.242463798,0.618685545,-0.239465892,2.012215818,0.472114692,0.070007324,-0.724157946,-0.409746849
11.92649707,-0.275822937,2.058629343,0.719663583,-0.204309642,1.8855692,0.584062383,0.022644043,-0.677428585,-0.411001648
12.07940088,-0.212834656,1.85111796,0.790233411,-0.154016674,1.832314956,0.68518243,0.01776123,-0.675996556,-0.408540564
12.23230469,-0.129826844,1.768067468,0.838585663,-0.174280345,1.812873101,0.783660135,-0.020568848,-0.718045803,-0.409725108
